datum,month,kateg,TISZA,Fidesz,Mi Hazánk,Kétfarkú Kutya Párt,DK,Egyéb,Pártnélküli,url
2026/03/01,2026/03,Biztos szavazók,58,35,3,2,1,0,,https://hvg.hu/360/20260325_median-tisza-fidesz-valasztas-marcius-kozvelemeny-kutatas
2026/03/01,2026/03,Teljes népesség,46,30,4,2,1,0,18,https://hvg.hu/360/20260325_median-tisza-fidesz-valasztas-marcius-kozvelemeny-kutatas
2026/03/01,2026/03,Választani tudók,56,36,4,2,1,0,,https://hvg.hu/360/20260325_median-tisza-fidesz-valasztas-marcius-kozvelemeny-kutatas
2026/04/01,2026/04,Biztos szavazók,,,,,,,,https://hvg.hu/360/20260408_median-mandatumbecsles-fidesz-tisza-valasztas-kethamad-kampany
2026/04/01,2026/04,Teljes népesség,48,30,,,,,,https://hvg.hu/360/20260408_median-mandatumbecsles-fidesz-tisza-valasztas-kethamad-kampany
2026/04/01,2026/04,Választani tudók,,,,,,,,https://hvg.hu/360/20260408_median-mandatumbecsles-fidesz-tisza-valasztas-kethamad-kampany
2026/05/01,2026/05,Biztos szavazók,70,23,6,,1,1,,https://hvg.hu/360/20260506_median-felmeres-aprilis-vege-partpreferenciak-orban-viktor-felelossegrevonas-birosag-bizakodas
2026/05/01,2026/05,Teljes népesség,61,21,5,,1,1,11,https://hvg.hu/360/20260506_median-felmeres-aprilis-vege-partpreferenciak-orban-viktor-felelossegrevonas-birosag-bizakodas
2026/05/01,2026/05,Választani tudók,68,24,6,,1,1,,https://hvg.hu/360/20260506_median-felmeres-aprilis-vege-partpreferenciak-orban-viktor-felelossegrevonas-birosag-bizakodas
2026/06/25,2026/06,Teljes népesség,60,18,4,,1,1,16,https://hvg.hu/360/20260701_tetozo-tisza-elszivargo-fidesz
2026/06/25,2026/06,Választani tudók,71,21,5,,1,2,,https://hvg.hu/360/20260701_tetozo-tisza-elszivargo-fidesz
2026/06/25,2026/06,Biztos szavazók,73,21,4,,1,1,,https://hvg.hu/360/20260701_tetozo-tisza-elszivargo-fidesz
2026/07/23,2026/07,Teljes népesség,57,19,7,1,,1,15,https://hvg.hu/360/20260727_median-2026-julius
2026/07/23,2026/07,Választani tudók,66,22,9,1,,2,,https://hvg.hu/360/20260727_median-2026-julius
2026/07/23,2026/07,Biztos szavazók,68,23,7,1,,1,,https://hvg.hu/360/20260727_median-2026-julius
