helyseg_nev,ksh_kod,jogallas,varmegye,jaras_kod,jaras_nev,jaras_szekhelye,ph_kod,ph_szekhelye,terulet_ha,lako_nepesseg,lakasok_szama,becslult_terulet,bolgar,gorog,horvat,lengyel,nemet,ormeny,roma,roman,ruszin,szerb,szlovak,szloven,ukran
Alsóörs,30526.0,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,2.0,[Helyben],3334.0000000000005,1919,1029,,,,,,,,,,,,,,
Alsópáhok,32081.0,község,Zala,193 0,Keszthelyi,Keszthely,2.0,[Helyben],1802.0,1462,855,,,,,,,,,,,,,,
Alsópetény,16425.0,község,Nógrád,119 0,Rétsági,Rétság,5.0,Nézsa,1968.0,573,305,,,,,,,,,,,,1.0,,
Alsórajk,18829.0,község,Zala,196 0,Nagykanizsai,Nagykanizsa,5.0,Garabonc,844.9999999999999,318,165,,,,,,,,,,,,,,
Alsóregmec,23223.0,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,5.0,Mikóháza,1540.0,194,88,,,,,,,,,,,,1.0,,
Alsószenterzsébet,8767.0,község,Zala,194 0,Lenti,Lenti,5.0,Csesztreg,963.0000000000001,53,39,,,,,,,,,,,,,,
Alsószentiván,25283.0,község,Fejér,084 0,Sárbogárdi,Sárbogárd,5.0,Alap,3965.0,542,281,,,,,,,,,,,,,,
Alsószentmárton,33279.0,község,Baranya,031 0,Siklósi,Siklós,5.0,Siklósnagyfalu,1361.0,1176,293,,,,,,,,1.0,,,,,,
Alsószölnök,22549.0,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,2.0,[Helyben],1002.0,332,172,,,,,,1.0,,,,,,,1.0,
Alsószuha,28839.0,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,5.0,Ragály,2242.0,374,165,,,,,,,,1.0,,,,,,
Alsótelekes,8217.0,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,5.0,Rudabánya,644.0,113,93,,,,,,,,,,,,,,
Alsótold,7621.0,község,Nógrád,118 0,Pásztói,Pásztó,5.0,Szurdokpüspöki,786.0,222,114,,,,,,,,,,,,,,
Alsóújlak,22725.0,község,Vas,182 0,Vasvári,Vasvár,5.0,Kám,2102.0,525,280,,,,,,,,,,,,,,
Alsóvadász,29814.0,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5.0,Aszaló,2290.0,1525,443,,,,,,,,1.0,,,,,,
Alsózsolca,21032.0,város,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,1.0,–,2602.0,5459,1877,,,,,,,,1.0,,,,,,
Ambrózfalva,16197.0,község,Csongrád-Csanád,073 0,Makói,Makó,5.0,Csanádalberti,1122.0,415,241,,,,,,,,,,,,1.0,,
Anarcs,29975.0,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,5.0,Gyulaháza,1705.9999999999998,1841,639,,,,,,,,1.0,,,,,,
Andocs,28714.0,község,Somogy,147 0,Tabi,Tab,2.0,[Helyben],4327.0,916,457,,,,,,,,,,,,,,
Andornaktálya,17987.0,község,Heves,104 0,Egri,Eger,1.0,–,1675.0,2569,1056,,,,,,,,,,,,,,
Andrásfa,12317.0,község,Vas,182 0,Vasvári,Vasvár,5.0,Győrvár,823.0,238,132,,,,,,,,,,,,,,
Annavölgy,34227.0,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,5.0,Csolnok,483.0,884,393,,,,,,,,,,,,,,
Apácatorna,28370.0,község,Veszprém,186 0,Devecseri,Devecser,5.0,Tüskevár,729.0,138,80,,,,,,,,,,,,,,
Apagy,20303.0,község,Szabolcs-Szatmár-Bereg,157 0,Nyíregyházi,Nyíregyháza,1.0,–,3199.0,2167,854,,,,,,,,,,,,,,
Apaj,33561.0,község,Pest,134 0,Ráckevei,Ráckeve,5.0,Áporka,7104.000000000001,1093,428,,,,,,,,,,,,,,
Aparhant,26125.0,község,Tolna,170 0,Bonyhádi,Bonyhád,2.0,[Helyben],1797.0,899,385,,,,,,1.0,,1.0,,,,,,
Apátfalva,14252.0,község,Csongrád-Csanád,073 0,Makói,Makó,2.0,[Helyben],5384.0,2799,1506,,,,,,,,1.0,1.0,,,,,
Apátistvánfalva,8873.0,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,5.0,Szentgotthárd,1286.0,372,161,,,,,,,,,,,,,1.0,
Apátvarasd,27298.0,község,Baranya,029 0,Pécsváradi,Pécsvárad,5.0,Pécsvárad,814.0,113,40,,,,,,,,,,,,,,
Apc,7241.0,község,Heves,107 0,Hatvani,Hatvan,1.0,–,2046.0,2421,1083,,,,,,,,,,,,,,
Áporka,10108.0,község,Pest,134 0,Ráckevei,Ráckeve,2.0,[Helyben],1747.0,1262,531,,,,,,,,,,,,,,
Apostag,21148.0,község,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,2.0,[Helyben],3194.0,2031,979,,,,,,,,,,,,,,
Aranyosapáti,9353.0,község,Szabolcs-Szatmár-Bereg,159 0,Vásárosnaményi,Vásárosnamény,2.0,[Helyben],2112.0,2032,640,,,,,,,,1.0,,,,,,
Aranyosgadány,6886.0,község,Baranya,028 0,Pécsi,Pécs,5.0,Pellérd,826.0,307,138,,,,1.0,,1.0,,,,,,,,
Arka,26198.0,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5.0,Abaújkér,949.0,53,72,,,,,,,,,,,,,,
Arló,14331.0,nagyközség,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,1.0,–,4687.0,3454,1119,,,,,,,,1.0,,,,,,
Arnót,3771.0,község,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,1.0,–,1754.0,2254,820,,,,,,,,1.0,,,,,,
Ároktő,3823.0,község,Borsod-Abaúj-Zemplén,059 0,Mezőcsáti,Mezőcsát,5.0,Mezőcsát,4641.0,1032,452,,,,,,,,1.0,,,,,,
Árpádhalom,19062.0,község,Csongrád-Csanád,076 0,Szentesi,Szentes,5.0,Fábiánsebestyén,4520.0,370,227,,,,,,,,,,,,,,
Árpás,32249.0,község,Győr-Moson-Sopron,092 0,Téti,Tét,5.0,Gyarmat,1425.0,284,143,,,,,,,,,,,,,,
Ártánd,3319.0,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,5.0,Biharkeresztes,1980.9999999999998,505,234,,,,,,,,,,,,,,
Ásotthalom,10339.0,nagyközség,Csongrád-Csanád,074 0,Mórahalmi,Mórahalom,1.0,–,12254.0,3665,1900,,,,,,,,,,,,,,
Ásványráró,26921.0,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,5.0,Kimle,3911.0,2170,903,,,,,,,,,,,,,,
Aszaló,4233.0,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,2.0,[Helyben],2536.0,1834,620,,,,,,,,1.0,,,,,,
Ászár,23852.0,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,2.0,[Helyben],1868.0,1395,675,,,,,,,,,,,,,,
Aszód,16188.0,város,Pest,122 1,Aszódi,Aszód,1.0,–,1620.0,6096,2650,,,,,,,,1.0,,,,,,
Aszófő,7339.0,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5.0,Tihany,832.0,485,203,,,,,,,,,,,,,,
Áta,28583.0,község,Baranya,028 0,Pécsi,Pécs,5.0,Pécsudvard,809.0,159,87,,,,,,,,,,,,,,
Átány,6503.0,község,Heves,108 0,Hevesi,Heves,2.0,[Helyben],5044.0,1426,517,,,,,,,,1.0,,,,,,
Atkár,16090.0,község,Heves,106 0,Gyöngyösi,Gyöngyös,5.0,Visonta,3376.0,1750,747,,,,,,,,,,,,,,
Attala,32735.0,község,Tolna,171 0,Dombóvári,Dombóvár,5.0,Dombóvár,2064.0,707,346,,,,,,,,,,,,,,
Babarc,5403.0,község,Baranya,024 0,Bólyi,Bóly,2.0,[Helyben],1885.0000000000002,659,310,,,,,,1.0,,1.0,,,,,,
Babarcszőlős,9663.0,község,Baranya,031 0,Siklósi,Siklós,5.0,Diósviszló,425.0,96,60,,,,,,,,,,,,,,
Babócsa,30474.0,község,Somogy,140 0,Barcsi,Barcs,5.0,Csokonyavisonta,3099.0,1332,685,,,,,,,,1.0,,,,,,
Bábolna,19363.0,város,Komárom-Esztergom,112 0,Komáromi,Komárom,2.0,[Helyben],3354.0,3424,1389,,,,,,,,,,,,,,
Bábonymegyer,28316.0,község,Somogy,147 0,Tabi,Tab,5.0,Tab,2193.0,770,339,,,,,,,,,,,,,,
Babosdöbréte,21263.0,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5.0,Zalaszentgyörgy,1252.0,504,241,,,,,,,,,,,,,,
Babót,15042.0,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,5.0,Szárföld,2167.0,1068,490,,,,,,,,,,,,,,
Bácsalmás,10719.0,város,Bács-Kiskun,034 1,Bácsalmási,Bácsalmás,2.0,[Helyben],10829.0,5963,3109,,,,1.0,,1.0,,1.0,,,,,,
Bácsbokod,10180.0,nagyközség,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,1.0,–,6393.0,2288,1175,,,,1.0,,1.0,,,,,,,,
Bácsborsód,27234.0,község,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,5.0,Katymár,7752.0,1022,419,,,,,,1.0,,,,,,,,
Bácsszentgyörgy,8697.0,község,Bács-Kiskun,035 0,Bajai,Baja,5.0,Gara,1474.0,125,86,,,,,,,,,,,,,,
Bácsszőlős,30155.0,község,Bács-Kiskun,034 0,Bácsalmási,Bácsalmás,5.0,Bácsalmás,3883.0,286,209,,,,,,,,,,,,,,
Badacsonytomaj,22327.0,város,Veszprém,189 0,Tapolcai,Tapolca,2.0,[Helyben],3270.0000000000005,2101,1198,,,,,,,,,,,,,,
Badacsonytördemic,3267.0,község,Veszprém,189 0,Tapolcai,Tapolca,5.0,Szigliget,1025.0,867,503,,,,,,,,,,,,,,
Bag,9131.0,nagyközség,Pest,122 0,Aszódi,Aszód,1.0,–,2355.0,3712,1340,,,,,,,,,,,,,,
Bagamér,20011.0,nagyközség,Hajdú-Bihar,101 0,Nyíradonyi,Nyíradony,1.0,–,4702.0,2355,935,,,,,,,,1.0,,,,,,
Baglad,11059.0,község,Zala,194 0,Lenti,Lenti,5.0,Rédics,486.00000000000006,44,38,,,,,,,,,,,,,,
Bagod,30368.0,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,2.0,[Helyben],1637.0,1186,472,,,,,,,,,,,,,,
Bágyogszovát,28769.0,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5.0,Szany,2406.0,1233,555,,,,,,,,,,,,,,
Baj,29212.0,község,Komárom-Esztergom,114 0,Tatai,Tata,1.0,–,2112.0,2833,1673,,,,,,1.0,,,,,,,,
Baja,3522.0,megyei jogú város,Bács-Kiskun,035 1,Bajai,Baja,1.0,–,17789.0,32401,17325,,,,1.0,,1.0,,1.0,,,1.0,,,
Bajánsenye,17020.0,község,Vas,177 0,Körmendi,Körmend,5.0,Őriszentpéter,2185.0,487,244,,,,,,,,,,,,,,
Bajna,16744.0,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,2.0,[Helyben],3728.0,1819,782,,,,,,,,,,,,,,
Bajót,29355.0,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,2.0,[Helyben],1643.0,1597,552,,,,,,,,1.0,,,,,,
Bak,4738.0,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,2.0,[Helyben],2305.0,1514,579,,,,,,,,1.0,,,,,,
Bakháza,14395.0,község,Somogy,145 0,Nagyatádi,Nagyatád,5.0,Kutas,592.0,163,80,,,,,,,,,,,,,,
Bakóca,22275.0,község,Baranya,025 0,Hegyháti,Sásd,5.0,Mindszentgodisa,1065.0,267,134,,,,,,,,,,,,,,
Bakonszeg,15167.0,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,5.0,Furta,3503.0,1073,596,,,,,,,,,,,,,,
Bakonya,8299.0,község,Baranya,028 0,Pécsi,Pécs,5.0,Orfű,1507.0,365,138,,,,,,,,1.0,,,,,,
Bakonybánk,24244.0,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5.0,Réde,1506.0,374,202,,,,,,,,,,,,,,
Bakonybél,23746.0,község,Veszprém,192 0,Zirci,Zirc,2.0,[Helyben],2436.0,1090,572,,,,,,1.0,,,,,,,,
Bakonycsernye,8730.0,nagyközség,Fejér,082 0,Móri,Mór,2.0,[Helyben],3813.0000000000005,2971,1215,,,,,,,,1.0,,,,1.0,,
Bakonygyirót,28936.0,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,5.0,Bakonyszentlászló,685.0,162,112,,,,,,,,,,,,,,
Bakonyjákó,29513.0,község,Veszprém,187 0,Pápai,Pápa,5.0,Adásztevel,4716.0,670,281,,,,,,1.0,,,,,,,,
Bakonykoppány,7287.0,község,Veszprém,187 0,Pápai,Pápa,5.0,Ugod,683.0,184,117,,,,,,,,,,,,,,
Bakonykúti,23153.0,község,Fejér,085 0,Székesfehérvári,Székesfehérvár,5.0,Iszkaszentgyörgy,1245.0,146,90,,,,,,,,,,,,,,
Bakonynána,25991.0,község,Veszprém,192 0,Zirci,Zirc,5.0,Bakonyszentkirály,1493.0,913,369,,,,,,1.0,,,,,,,,
Bakonyoszlop,30410.0,község,Veszprém,192 0,Zirci,Zirc,5.0,Bakonyszentkirály,1420.0,431,208,,,,,,1.0,,,,,,,,
Bakonypéterd,22062.0,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,5.0,Écs,1002.0,287,129,,,,,,,,,,,,,,
Bakonypölöske,6327.0,község,Veszprém,187 0,Pápai,Pápa,5.0,Pápakovácsi,1104.0,393,160,,,,,,1.0,,,,,,,,
Bakonyság,29902.0,község,Veszprém,187 0,Pápai,Pápa,5.0,Ugod,857.0,48,56,,,,,,,,,,,,,,
Bakonysárkány,25229.0,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5.0,Tárkány,1412.0,966,390,,,,,,1.0,,,,,,,,
Bakonyszentiván,23922.0,község,Veszprém,187 0,Pápai,Pápa,5.0,Pápateszér,914.0,212,99,,,,,,1.0,,,,,,,,
Bakonyszentkirály,22813.0,község,Veszprém,192 0,Zirci,Zirc,2.0,[Helyben],2790.0,771,384,,,,,,,,,,,,,,
Bakonyszentlászló,5944.0,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,2.0,[Helyben],3851.0,1573,777,,,,,,,,,,,,,,
Bakonyszombathely,22381.0,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,2.0,[Helyben],3652.0000000000005,1306,602,,,,,,,,,,,,,,
Bakonyszücs,26417.0,község,Veszprém,187 0,Pápai,Pápa,5.0,Ugod,3520.0000000000005,232,149,,,,,,1.0,,,,,,,,
Bakonytamási,24129.0,község,Veszprém,187 0,Pápai,Pápa,5.0,Csót,2049.0,536,287,,,,,,,,,,,,,,
Baks,29106.0,község,Csongrád-Csanád,072 0,Kisteleki,Kistelek,1.0,–,6192.0,1903,870,,,,,,,,1.0,,,,,,
Baksa,3975.0,község,Baranya,030 0,Sellyei,Sellye,2.0,[Helyben],1382.0,793,285,,,,,,,,1.0,,,,,,
Baktakék,18184.0,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,5.0,Szalaszend,1879.0,793,267,,,,,,,,1.0,,,,,,
Baktalórántháza,2325.0,város,Szabolcs-Szatmár-Bereg,148 1,Baktalórántházai,Baktalórántháza,2.0,[Helyben],3524.0,3494,1127,,,,,,,,1.0,,,,,,
Baktüttös,15097.0,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5.0,Bocfölde,971.0000000000001,323,142,,,,,,,,,,,,,,
Balajt,22521.0,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5.0,Szendrőlád,902.9999999999999,512,143,,,,,,,,1.0,,,,,,
Balassagyarmat,13657.0,város,Nógrád,116 1,Balassagyarmati,Balassagyarmat,2.0,[Helyben],2333.0,13706,6753,,,,,,,,1.0,,,,,,
Balástya,23676.0,község,Csongrád-Csanád,072 0,Kisteleki,Kistelek,1.0,–,11000.0,3225,1816,,,,,,,,,,,,,,
Balaton,11527.0,község,Heves,103 0,Bélapátfalvai,Bélapátfalva,2.0,[Helyben],1320.0,915,439,,,,,,,,1.0,,,,,,
Balatonakali,25308.0,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5.0,Tihany,3620.0000000000005,684,553,,,,,,,,,,,,,,
Balatonakarattya,34421.0,község,Veszprém,184 0,Balatonalmádi,Balatonalmádi,5.0,Balatonfőkajár,2139.0,1214,574,B,,,,,,,,,,,,,
Balatonalmádi,5838.0,város,Veszprém,184 1,Balatonalmádi,Balatonalmádi,2.0,[Helyben],4988.0,10066,5097,,,,,,,,,,,,,,
Balatonberény,27377.0,község,Somogy,144 0,Marcali,Marcali,5.0,Balatonkeresztúr,2609.0,1168,893,,,,,,,,,,,,,,
Balatonboglár,33853.0,város,Somogy,142 0,Fonyódi,Fonyód,2.0,[Helyben],3204.0,5298,3042,,,,,,,,,,,,,,
Balatoncsicsó,3072.0,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5.0,Zánka,1318.0,279,109,,,,,,1.0,,,,,,,,
Balatonederics,12238.0,község,Veszprém,189 0,Tapolcai,Tapolca,5.0,Lesencetomaj,1857.9999999999998,1031,518,,,,,,,,,,,,,,
Balatonendréd,19460.0,község,Somogy,146 0,Siófoki,Siófok,5.0,Kőröshegy,4002.0000000000005,1300,611,,,,,,,,,,,,,,
Balatonfenyves,20729.0,község,Somogy,142 0,Fonyódi,Fonyód,1.0,–,5193.0,2022,1359,,,,,,,,,,,,,,
Balatonfőkajár,29461.0,község,Veszprém,184 0,Balatonalmádi,Balatonalmádi,2.0,[Helyben],2192.0,1301,625,,,,,,,,,,,,,,
Balatonföldvár,7117.0,város,Somogy,146 0,Siófoki,Siófok,2.0,[Helyben],1533.0,2295,1412,,,,,,,,,,,,,,
Balatonfüred,21175.0,város,Veszprém,185 1,Balatonfüredi,Balatonfüred,2.0,[Helyben],4645.0,12906,7112,,,,,,,,1.0,,,,,,
Balatonfűzfő,2219.0,város,Veszprém,184 0,Balatonalmádi,Balatonalmádi,2.0,[Helyben],925.0,4448,2158,,,,,,,,,,,,,,
Balatongyörök,17002.0,község,Zala,193 0,Keszthelyi,Keszthely,5.0,Vonyarcvashegy,3759.0000000000005,1297,696,,,,,,,,,,,,,,
Balatonhenye,3638.0,község,Veszprém,189 0,Tapolcai,Tapolca,5.0,Kővágóörs,1173.0,123,54,,,,,,,,,,,,,,
Balatonkenese,5148.0,város,Veszprém,184 0,Balatonalmádi,Balatonalmádi,1.0,–,4418.0,2570,1446,,,,,,,,,,,,,,
