forras,datum,dimenzio,csoport,nepesseg,part,szazalek,fo
Europion,2026-05-09,Korcsoport,40-49,1435,Egyéb,18,258
Europion,2026-05-09,Korcsoport,50-59,1334,Fidesz,28,374
Europion,2026-05-09,Korcsoport,50-59,1334,Tisza,45,600
Europion,2026-05-09,Korcsoport,50-59,1334,Mi Hazánk,8,107
Europion,2026-05-09,Korcsoport,50-59,1334,Egyéb,19,253
Europion,2026-05-09,Korcsoport,60+,2443,Fidesz,31,757
Europion,2026-05-09,Korcsoport,60+,2443,Tisza,43,1050
Europion,2026-05-09,Korcsoport,60+,2443,Mi Hazánk,8,195
Europion,2026-05-09,Korcsoport,60+,2443,Egyéb,18,440
Europion,2026-05-09,Településtípus,község,2258,Fidesz,28,632
Europion,2026-05-09,Településtípus,község,2258,Tisza,45,1016
Europion,2026-05-09,Településtípus,község,2258,Mi Hazánk,7,158
Europion,2026-05-09,Településtípus,község,2258,Egyéb,20,452
Europion,2026-05-09,Településtípus,egyéb város,2528,Fidesz,24,607
Europion,2026-05-09,Településtípus,egyéb város,2528,Tisza,51,1289
Europion,2026-05-09,Településtípus,egyéb város,2528,Mi Hazánk,8,202
Europion,2026-05-09,Településtípus,egyéb város,2528,Egyéb,17,430
Europion,2026-05-09,Településtípus,megyei jogú város,1579,Fidesz,19,300
Europion,2026-05-09,Településtípus,megyei jogú város,1579,Tisza,54,853
Europion,2026-05-09,Településtípus,megyei jogú város,1579,Mi Hazánk,8,126
Europion,2026-05-09,Településtípus,megyei jogú város,1579,Egyéb,19,300
Europion,2026-05-09,Településtípus,főváros,1249,Fidesz,18,225
Europion,2026-05-09,Településtípus,főváros,1249,Tisza,60,749
Europion,2026-05-09,Településtípus,főváros,1249,Mi Hazánk,5,62
Europion,2026-05-09,Településtípus,főváros,1249,Egyéb,17,212
Europion,2026-05-09,Iskolázottság,≤8 általános,1457,Fidesz,30,437
Europion,2026-05-09,Iskolázottság,≤8 általános,1457,Tisza,42,612
Europion,2026-05-09,Iskolázottság,≤8 általános,1457,Mi Hazánk,8,117
Europion,2026-05-09,Iskolázottság,≤8 általános,1457,Egyéb,20,291
Europion,2026-05-09,Iskolázottság,szakmunkás,1706,Fidesz,30,512
Europion,2026-05-09,Iskolázottság,szakmunkás,1706,Tisza,42,717
Europion,2026-05-09,Iskolázottság,szakmunkás,1706,Mi Hazánk,8,136
Europion,2026-05-09,Iskolázottság,szakmunkás,1706,Egyéb,20,341
Europion,2026-05-09,Iskolázottság,érettségi,2554,Fidesz,19,485
Europion,2026-05-09,Iskolázottság,érettségi,2554,Tisza,54,1379
Europion,2026-05-09,Iskolázottság,érettségi,2554,Mi Hazánk,8,204
Europion,2026-05-09,Iskolázottság,érettségi,2554,Egyéb,19,485
Europion,2026-05-09,Iskolázottság,felsőfokú,1896,Fidesz,15,284
Europion,2026-05-09,Iskolázottság,felsőfokú,1896,Tisza,68,1289
Europion,2026-05-09,Iskolázottság,felsőfokú,1896,Mi Hazánk,4,76
Europion,2026-05-09,Iskolázottság,felsőfokú,1896,Egyéb,13,246
Závecz,2026-06-01,Teljes,Teljes népesség,7613,Tisza,57,4339
Závecz,2026-06-01,Teljes,Teljes népesség,7613,Fidesz,18,1370
Závecz,2026-06-01,Teljes,Teljes népesség,7613,Mi Hazánk,4,305
Závecz,2026-06-01,Teljes,Teljes népesség,7613,DK,1,76
Závecz,2026-06-01,Teljes,Teljes népesség,7613,MKKP,1,76
Závecz,2026-06-01,Teljes,Teljes népesség,7613,Pártnélküli,19,1446
Závecz,2026-06-01,Nem,Férfi,3578,Tisza,54,1932
Závecz,2026-06-01,Nem,Férfi,3578,Fidesz,19,680
Závecz,2026-06-01,Nem,Nő,4035,Tisza,59,2381
Závecz,2026-06-01,Nem,Nő,4035,Fidesz,16,646
Závecz,2026-06-01,Korcsoport,18-39,2485,Tisza,63,1566
Závecz,2026-06-01,Korcsoport,18-39,2485,Fidesz,9,224
Závecz,2026-06-01,Korcsoport,40-59,2865,Tisza,54,1547
Závecz,2026-06-01,Korcsoport,40-59,2865,Fidesz,18,516
Závecz,2026-06-01,Korcsoport,59+,2528,Tisza,54,1365
Závecz,2026-06-01,Korcsoport,59+,2528,Fidesz,25,632
Závecz,2026-06-01,Iskolázottság,≤8 általános,1457,Tisza,44,641
Závecz,2026-06-01,Iskolázottság,≤8 általános,1457,Fidesz,33,481
Závecz,2026-06-01,Iskolázottság,szakmunkás,1706,Tisza,50,853
Závecz,2026-06-01,Iskolázottság,szakmunkás,1706,Fidesz,20,341
Závecz,2026-06-01,Iskolázottság,érettségi,2554,Tisza,62,1583
Závecz,2026-06-01,Iskolázottság,érettségi,2554,Fidesz,10,255
Závecz,2026-06-01,Iskolázottság,felsőfokú,1896,Tisza,66,1251
Závecz,2026-06-01,Iskolázottság,felsőfokú,1896,Fidesz,12,228
Závecz,2026-06-01,Településtípus,főváros,1249,Tisza,70,874
Závecz,2026-06-01,Településtípus,főváros,1249,Fidesz,8,100
Závecz,2026-06-01,Településtípus,megyei jogú város,1579,Tisza,63,995
Závecz,2026-06-01,Településtípus,megyei jogú város,1579,Fidesz,11,174
Závecz,2026-06-01,Településtípus,egyéb város,2528,Tisza,54,1365
Závecz,2026-06-01,Településtípus,egyéb város,2528,Fidesz,20,506
Závecz,2026-06-01,Településtípus,község,2258,Tisza,48,1084
Závecz,2026-06-01,Településtípus,község,2258,Fidesz,25,564
