date,type,tax,scope,netto_koncepcio,period,incl_kozfoglalk,adat forrás,source,earnings,shape_key
2026-01-01,2. kvintilis,NA,NA,NA,monthly,NA,adat,havi,447113,Havi (adat)
2026-01-01,3. kvintilis,NA,NA,NA,monthly,NA,adat,havi,597401,Havi (adat)
2026-01-01,4. kvintilis,NA,NA,NA,monthly,NA,adat,havi,802832,Havi (adat)
2026-01-01,5. kvintilis,NA,NA,NA,monthly,NA,adat,havi,2021917,Havi (adat)
2026-02-01,1. kvintilis,NA,NA,NA,monthly,NA,adat,havi,318188,Havi (adat)
2026-02-01,2. kvintilis,NA,NA,NA,monthly,NA,adat,havi,444794,Havi (adat)
2026-02-01,3. kvintilis,NA,NA,NA,monthly,NA,adat,havi,591283,Havi (adat)
2026-02-01,4. kvintilis,NA,NA,NA,monthly,NA,adat,havi,783400,Havi (adat)
2026-02-01,5. kvintilis,NA,NA,NA,monthly,NA,adat,havi,1481483,Havi (adat)
2026-03-01,1. kvintilis,NA,NA,NA,monthly,NA,adat,havi,321405,Havi (adat)
2026-03-01,2. kvintilis,NA,NA,NA,monthly,NA,adat,havi,456864,Havi (adat)
2026-03-01,3. kvintilis,NA,NA,NA,monthly,NA,adat,havi,613348,Havi (adat)
2026-03-01,4. kvintilis,NA,NA,NA,monthly,NA,adat,havi,815590,Havi (adat)
2026-03-01,5. kvintilis,NA,NA,NA,monthly,NA,adat,havi,1683070,Havi (adat)
2026-04-01,1. kvintilis,NA,NA,NA,monthly,NA,adat,havi,323173,Havi (adat)
2026-04-01,2. kvintilis,NA,NA,NA,monthly,NA,adat,havi,462451,Havi (adat)
2026-04-01,3. kvintilis,NA,NA,NA,monthly,NA,adat,havi,620032,Havi (adat)
2026-04-01,4. kvintilis,NA,NA,NA,monthly,NA,adat,havi,820699,Havi (adat)
2026-04-01,5. kvintilis,NA,NA,NA,monthly,NA,adat,havi,1629938,Havi (adat)
2026-05-01,1. kvintilis,NA,NA,NA,monthly,NA,adat,havi,322830,Havi (adat)
2026-05-01,2. kvintilis,NA,NA,NA,monthly,NA,adat,havi,461074,Havi (adat)
2026-05-01,3. kvintilis,NA,NA,NA,monthly,NA,adat,havi,619813,Havi (adat)
2026-05-01,4. kvintilis,NA,NA,NA,monthly,NA,adat,havi,821311,Havi (adat)
2026-05-01,5. kvintilis,NA,NA,NA,monthly,NA,adat,havi,1587593,Havi (adat)
