telepules,szerkezet,szerkezet_tipus,szerep,bp_legal_81
Gyál,Budapesti agglomeráció,agglomeráció,egyéb,igen
Gyömrő,Budapesti agglomeráció,agglomeráció,egyéb,igen
Göd,Budapesti agglomeráció,agglomeráció,egyéb,igen
Gödöllő,Budapesti agglomeráció,agglomeráció,egyéb,igen
Halásztelek,Budapesti agglomeráció,agglomeráció,egyéb,igen
Herceghalom,Budapesti agglomeráció,agglomeráció,egyéb,igen
Hévízgyörk,Budapesti agglomeráció,agglomeráció,egyéb,nem
Inárcs,Budapesti agglomeráció,agglomeráció,egyéb,nem
Isaszeg,Budapesti agglomeráció,agglomeráció,egyéb,igen
Kajászó,Budapesti agglomeráció,agglomeráció,egyéb,nem
Kakucs,Budapesti agglomeráció,agglomeráció,egyéb,nem
Kerepes,Budapesti agglomeráció,agglomeráció,egyéb,igen
Kismaros,Budapesti agglomeráció,agglomeráció,egyéb,nem
Kisoroszi,Budapesti agglomeráció,agglomeráció,egyéb,igen
Kistarcsa,Budapesti agglomeráció,agglomeráció,egyéb,igen
Káva,Budapesti agglomeráció,agglomeráció,egyéb,nem
Kóka,Budapesti agglomeráció,agglomeráció,egyéb,nem
Leányfalu,Budapesti agglomeráció,agglomeráció,egyéb,igen
Maglód,Budapesti agglomeráció,agglomeráció,egyéb,igen
Majosháza,Budapesti agglomeráció,agglomeráció,egyéb,igen
Martonvásár,Budapesti agglomeráció,agglomeráció,egyéb,nem
Mende,Budapesti agglomeráció,agglomeráció,egyéb,nem
Mogyoród,Budapesti agglomeráció,agglomeráció,egyéb,igen
Monor,Budapesti agglomeráció,agglomeráció,egyéb,nem
Monorierdő,Budapesti agglomeráció,agglomeráció,egyéb,nem
Nagykovácsi,Budapesti agglomeráció,agglomeráció,egyéb,igen
Nagymaros,Budapesti agglomeráció,agglomeráció,egyéb,nem
Nagytarcsa,Budapesti agglomeráció,agglomeráció,egyéb,igen
Nyáregyháza,Budapesti agglomeráció,agglomeráció,egyéb,nem
Perbál,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pilis,Budapesti agglomeráció,agglomeráció,egyéb,nem
Pilisborosjenő,Budapesti agglomeráció,agglomeráció,egyéb,igen
Piliscsaba,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pilisjászfalu,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pilisszentiván,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pilisszentkereszt,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pilisszentlászló,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pilisszántó,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pilisvörösvár,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pomáz,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pusztazámor,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pánd,Budapesti agglomeráció,agglomeráció,egyéb,nem
Páty,Budapesti agglomeráció,agglomeráció,egyéb,igen
Pécel,Budapesti agglomeráció,agglomeráció,egyéb,igen
Péteri,Budapesti agglomeráció,agglomeráció,egyéb,nem
Pócsmegyer,Budapesti agglomeráció,agglomeráció,egyéb,igen
Remeteszőlős,Budapesti agglomeráció,agglomeráció,egyéb,igen
Solymár,Budapesti agglomeráció,agglomeráció,egyéb,igen
Szada,Budapesti agglomeráció,agglomeráció,egyéb,igen
Szentendre,Budapesti agglomeráció,agglomeráció,egyéb,igen
Szentmártonkáta,Budapesti agglomeráció,agglomeráció,egyéb,nem
Szigetcsép,Budapesti agglomeráció,agglomeráció,egyéb,nem
Szigethalom,Budapesti agglomeráció,agglomeráció,egyéb,igen
Szigetmonostor,Budapesti agglomeráció,agglomeráció,egyéb,igen
Szigetszentmiklós,Budapesti agglomeráció,agglomeráció,egyéb,igen
Százhalombatta,Budapesti agglomeráció,agglomeráció,egyéb,igen
Sződ,Budapesti agglomeráció,agglomeráció,egyéb,igen
Sződliget,Budapesti agglomeráció,agglomeráció,egyéb,igen
Sóskút,Budapesti agglomeráció,agglomeráció,egyéb,igen
Sülysáp,Budapesti agglomeráció,agglomeráció,egyéb,nem
Tahitótfalu,Budapesti agglomeráció,agglomeráció,egyéb,igen
Taksony,Budapesti agglomeráció,agglomeráció,egyéb,igen
Telki,Budapesti agglomeráció,agglomeráció,egyéb,igen
Tinnye,Budapesti agglomeráció,agglomeráció,egyéb,igen
Tordas,Budapesti agglomeráció,agglomeráció,egyéb,nem
Tápiószecső,Budapesti agglomeráció,agglomeráció,egyéb,nem
Tápióság,Budapesti agglomeráció,agglomeráció,egyéb,nem
Tárnok,Budapesti agglomeráció,agglomeráció,egyéb,igen
Tóalmás,Budapesti agglomeráció,agglomeráció,egyéb,nem
Tök,Budapesti agglomeráció,agglomeráció,egyéb,igen
Tököl,Budapesti agglomeráció,agglomeráció,egyéb,igen
Törökbálint,Budapesti agglomeráció,agglomeráció,egyéb,igen
Vecsés,Budapesti agglomeráció,agglomeráció,egyéb,igen
Veresegyház,Budapesti agglomeráció,agglomeráció,egyéb,igen
Verőce,Budapesti agglomeráció,agglomeráció,egyéb,nem
Visegrád,Budapesti agglomeráció,agglomeráció,egyéb,igen
Vác,Budapesti agglomeráció,agglomeráció,egyéb,igen
Vácrátót,Budapesti agglomeráció,agglomeráció,egyéb,igen
Zebegény,Budapesti agglomeráció,agglomeráció,egyéb,nem
Zsámbék,Budapesti agglomeráció,agglomeráció,egyéb,igen
Érd,Budapesti agglomeráció,agglomeráció,központ,igen
Ócsa,Budapesti agglomeráció,agglomeráció,egyéb,igen
Úri,Budapesti agglomeráció,agglomeráció,egyéb,nem
Üllő,Budapesti agglomeráció,agglomeráció,egyéb,igen
Üröm,Budapesti agglomeráció,agglomeráció,egyéb,igen
Őrbottyán,Budapesti agglomeráció,agglomeráció,egyéb,igen
Békés,Békéscsabai településegyüttes,településegyüttes,központ,n/a
Békéscsaba,Békéscsabai településegyüttes,településegyüttes,központ,n/a
Csabaszabadi,Békéscsabai településegyüttes,településegyüttes,egyéb,n/a
Doboz,Békéscsabai településegyüttes,településegyüttes,egyéb,n/a
Gyula,Békéscsabai településegyüttes,településegyüttes,egyéb,n/a
Kétsoprony,Békéscsabai településegyüttes,településegyüttes,egyéb,n/a
Murony,Békéscsabai településegyüttes,településegyüttes,egyéb,n/a
Sarkad,Békéscsabai településegyüttes,településegyüttes,egyéb,n/a
Szabadkígyós,Békéscsabai településegyüttes,településegyüttes,egyéb,n/a
Telekgerendás,Békéscsabai településegyüttes,településegyüttes,egyéb,n/a
Újkígyós,Békéscsabai településegyüttes,településegyüttes,egyéb,n/a
Bocskaikert,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Debrecen,Debreceni településegyüttes,településegyüttes,központ,n/a
Ebes,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Hajdúbagos,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Hajdúhadház,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Hajdúsámson,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Hosszúpályi,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Mikepércs,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Monostorpályi,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Nyírmártonfalva,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Sáránd,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Téglás,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Vámospércs,Debreceni településegyüttes,településegyüttes,egyéb,n/a
Baracs,Dunaújvárosi településegyüttes,településegyüttes,egyéb,n/a
Dunaújváros,Dunaújvárosi településegyüttes,településegyüttes,központ,n/a
Előszállás,Dunaújvárosi településegyüttes,településegyüttes,egyéb,n/a
Kisapostag,Dunaújvárosi településegyüttes,településegyüttes,egyéb,n/a
Kulcs,Dunaújvárosi településegyüttes,településegyüttes,egyéb,n/a
Mezőfalva,Dunaújvárosi településegyüttes,településegyüttes,egyéb,n/a
Nagykarácsony,Dunaújvárosi településegyüttes,településegyüttes,egyéb,n/a
Nagyvenyim,Dunaújvárosi településegyüttes,településegyüttes,egyéb,n/a
Rácalmás,Dunaújvárosi településegyüttes,településegyüttes,egyéb,n/a
Andornaktálya,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Bátor,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Bélapátfalva,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Demjén,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Eger,Egri agglomerálódó térség,agglomerálódó térség,központ,n/a
Egerbakta,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Egerbocs,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Egerszalók,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Egerszólát,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Felsőtárkány,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Hevesaranyos,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Maklár,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Mikófalva,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Mónosbél,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Nagytálya,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Noszvaj,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Novaj,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Ostoros,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Szarvaskő,Egri agglomerálódó térség,agglomerálódó térség,egyéb,n/a
Esztergom,Esztergomi településegyüttes,településegyüttes,központ,n/a
Pilismarót,Esztergomi településegyüttes,településegyüttes,egyéb,n/a
Abda,Győri agglomeráció,agglomeráció,egyéb,n/a
Bakonygyirót,Győri agglomeráció,agglomeráció,egyéb,n/a
Bakonypéterd,Győri agglomeráció,agglomeráció,egyéb,n/a
Bakonyszentlászló,Győri agglomeráció,agglomeráció,egyéb,n/a
Bakonytamási,Győri agglomeráció,agglomeráció,egyéb,n/a
Bana,Győri agglomeráció,agglomeráció,egyéb,n/a
Barbacs,Győri agglomeráció,agglomeráció,egyéb,n/a
Bezi,Győri agglomeráció,agglomeráció,egyéb,n/a
Bodonhely,Győri agglomeráció,agglomeráció,egyéb,n/a
Bágyogszovát,Győri agglomeráció,agglomeráció,egyéb,n/a
Bársonyos,Győri agglomeráció,agglomeráció,egyéb,n/a
Börcs,Győri agglomeráció,agglomeráció,egyéb,n/a
Bőny,Győri agglomeráció,agglomeráció,egyéb,n/a
Csikvánd,Győri agglomeráció,agglomeráció,egyéb,n/a
Dunaszeg,Győri agglomeráció,agglomeráció,egyéb,n/a
Dunaszentpál,Győri agglomeráció,agglomeráció,egyéb,n/a
Enese,Győri agglomeráció,agglomeráció,egyéb,n/a
Fehértó,Győri agglomeráció,agglomeráció,egyéb,n/a
Felpéc,Győri agglomeráció,agglomeráció,egyéb,n/a
Gecse,Győri agglomeráció,agglomeráció,egyéb,n/a
Gic,Győri agglomeráció,agglomeráció,egyéb,n/a
Gyarmat,Győri agglomeráció,agglomeráció,egyéb,n/a
Gyömöre,Győri agglomeráció,agglomeráció,egyéb,n/a
Győr,Győri agglomeráció,agglomeráció,központ,n/a
Győrasszonyfa,Győri agglomeráció,agglomeráció,egyéb,n/a
Győrladamér,Győri agglomeráció,agglomeráció,egyéb,n/a
Győrszemere,Győri agglomeráció,agglomeráció,egyéb,n/a
Győrság,Győri agglomeráció,agglomeráció,egyéb,n/a
Győrsövényház,Győri agglomeráció,agglomeráció,egyéb,n/a
Győrzámoly,Győri agglomeráció,agglomeráció,egyéb,n/a
Győrújbarát,Győri agglomeráció,agglomeráció,egyéb,n/a
Győrújfalu,Győri agglomeráció,agglomeráció,egyéb,n/a
Gönyű,Győri agglomeráció,agglomeráció,egyéb,n/a
Ikrény,Győri agglomeráció,agglomeráció,egyéb,n/a
Kajárpéc,Győri agglomeráció,agglomeráció,egyéb,n/a
Kisbabot,Győri agglomeráció,agglomeráció,egyéb,n/a
Kisbajcs,Győri agglomeráció,agglomeráció,egyéb,n/a
Koroncó,Győri agglomeráció,agglomeráció,egyéb,n/a
Kunsziget,Győri agglomeráció,agglomeráció,egyéb,n/a
Kóny,Győri agglomeráció,agglomeráció,egyéb,n/a
Lázi,Győri agglomeráció,agglomeráció,egyéb,n/a
Lébény,Győri agglomeráció,agglomeráció,egyéb,n/a
Markotabödöge,Győri agglomeráció,agglomeráció,egyéb,n/a
Mecsér,Győri agglomeráció,agglomeráció,egyéb,n/a
Mezőörs,Győri agglomeráció,agglomeráció,egyéb,n/a
Mosonszentmiklós,Győri agglomeráció,agglomeráció,egyéb,n/a
Mérges,Győri agglomeráció,agglomeráció,egyéb,n/a
Mórichida,Győri agglomeráció,agglomeráció,egyéb,n/a
Nagybajcs,Győri agglomeráció,agglomeráció,egyéb,n/a
Nagyszentjános,Győri agglomeráció,agglomeráció,egyéb,n/a
Nyalka,Győri agglomeráció,agglomeráció,egyéb,n/a
Nyúl,Győri agglomeráció,agglomeráció,egyéb,n/a
Pannonhalma,Győri agglomeráció,agglomeráció,egyéb,n/a
Pázmándfalu,Győri agglomeráció,agglomeráció,egyéb,n/a
Pér,Győri agglomeráció,agglomeráció,egyéb,n/a
Ravazd,Győri agglomeráció,agglomeráció,egyéb,n/a
Románd,Győri agglomeráció,agglomeráció,egyéb,n/a
Rábacsécsény,Győri agglomeráció,agglomeráció,egyéb,n/a
Rábapatona,Győri agglomeráció,agglomeráció,egyéb,n/a
Rábaszentmihály,Győri agglomeráció,agglomeráció,egyéb,n/a
Rábaszentmiklós,Győri agglomeráció,agglomeráció,egyéb,n/a
Rétalap,Győri agglomeráció,agglomeráció,egyéb,n/a
Sikátor,Győri agglomeráció,agglomeráció,egyéb,n/a
Sokorópátka,Győri agglomeráció,agglomeráció,egyéb,n/a
Szerecseny,Győri agglomeráció,agglomeráció,egyéb,n/a
Tarjánpuszta,Győri agglomeráció,agglomeráció,egyéb,n/a
Táp,Győri agglomeráció,agglomeráció,egyéb,n/a
Tápszentmiklós,Győri agglomeráció,agglomeráció,egyéb,n/a
Tényő,Győri agglomeráció,agglomeráció,egyéb,n/a
Tét,Győri agglomeráció,agglomeráció,egyéb,n/a
Töltéstava,Győri agglomeráció,agglomeráció,egyéb,n/a
Veszprémvarsány,Győri agglomeráció,agglomeráció,egyéb,n/a
Vámosszabadi,Győri agglomeráció,agglomeráció,egyéb,n/a
Vének,Győri agglomeráció,agglomeráció,egyéb,n/a
Árpás,Győri agglomeráció,agglomeráció,egyéb,n/a
Ásványráró,Győri agglomeráció,agglomeráció,egyéb,n/a
Écs,Győri agglomeráció,agglomeráció,egyéb,n/a
Öttevény,Győri agglomeráció,agglomeráció,egyéb,n/a
Baté,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Bárdudvarnok,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Cserénfa,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Csombárd,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Hetes,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Juta,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Kaposfő,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Kaposgyarmat,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Kaposmérő,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Kaposszerdahely,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Kaposvár,Kaposvári településegyüttes,településegyüttes,központ,n/a
Kaposújlak,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Magyaratád,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Magyaregres,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Mernye,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Orci,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Patca,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Ráksi,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Simonfa,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Somogyaszaló,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Szenna,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Szentbalázs,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Szilvásszentmárton,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Sántos,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Taszár,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Várda,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Zimány,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Zselickisfalud,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Zselickislak,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Zselicszentpál,Kaposvári településegyüttes,településegyüttes,egyéb,n/a
Ballószög,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Fülöpháza,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Fülöpjakab,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Helvécia,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Jakabszállás,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Kecskemét,Kecskeméti településegyüttes,településegyüttes,központ,n/a
Kerekegyháza,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Kunszállás,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Lakitelek,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Nyárlőrinc,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Szentkirály,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Városföld,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Ágasegyháza,Kecskeméti településegyüttes,településegyüttes,egyéb,n/a
Alacska,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Alsódobsza,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Alsózsolca,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Arnót,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Boldva,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Bükkaranyos,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Bükkszentkereszt,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Emőd,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Felsőzsolca,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Gesztely,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Harsány,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Hejőkeresztúr,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Hernádkak,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Hernádnémeti,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Kisgyőr,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Kistokaj,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Kondó,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Miskolc,Miskolci agglomeráció,agglomeráció,központ,n/a
Mályi,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Nyékládháza,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Onga,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Parasznya,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Radostyán,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Répáshuta,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajóbábony,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajóecseg,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajókeresztúr,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajókápolna,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajólád,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajólászlófalva,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajópetri,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajópálfala,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajósenye,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajószentpéter,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sajóvámos,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Szikszó,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Szirmabesenyő,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Sóstófalva,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Varbó,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Vatta,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Újcsanálos,Miskolci agglomeráció,agglomeráció,egyéb,n/a
Bocska,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Csapi,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Eszteregnye,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Fityeház,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Fűzvölgy,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
Gelse,Nagykanizsai településegyüttes,településegyüttes,egyéb,n/a
