cntr_group,country,Code,era_yrs,varname,cntr_region,era_col,value,value_end,change_val,pop,synth,cntr_rank,trans_rec_end_yr,label_perc_end,era_num,era_low,era_high,scaling,change_val_lab,change_lab,change_sign
CEE,Bulgaria,BGR,1950-1975,% of S_EUR4,CEE: Bulgaria,"early socialism
(1950-1973/75)",-0.5363558231686137,-0.4570112647875982,0.07934455838101556,7248464,NA,1,1999,58,1,0.5,1.5,0.01,0.08,BGR: +0.08,convergence
CEE,Bulgaria,BGR,1975-1989,% of S_EUR4,CEE: Bulgaria,"late socialism
(1973/75-1989)",-0.4570112647875982,-0.7739365021678642,-0.31692523738026607,8723102,NA,1,1999,63,2,1.5,2.5,0.01,-0.32,BGR: -0.32,divergence
CEE,Bulgaria,BGR,1989-1999,% of S_EUR4,CEE: Bulgaria,"transition
(1989-1991/92)",-0.7739365021678642,-1.2477555772950446,-0.47381907512718036,8936335,NA,1,1999,46,3,2.5,3.5,0.01,-0.47,BGR: -0.47,divergence
CEE,Bulgaria,BGR,1999-2022,% of S_EUR4,CEE: Bulgaria,"capitalism
(1992-2022)",-1.2477555772950446,-0.5004236846825213,0.7473318926125233,8067415,NA,1,1999,29,4,3.5,4.5,0.01,0.75,BGR: +0.75,convergence
Yugosl.,Croatia,HRV,1952-1979,% of S_EUR4,Yugosl.: Croatia,"early socialism
(1950-1973/75)",-0.6284420386224377,-0.18842599323538523,0.4400160453870525,3957359,NA,1,1993,53,1,0.5,1.5,0.01,0.44,HRV: +0.44,convergence
Yugosl.,Croatia,HRV,1979-1989,% of S_EUR4,Yugosl.: Croatia,"late socialism
(1973/75-1989)",-0.18842599323538523,-0.4311545522643561,-0.2427285590289709,4626900,NA,1,1993,83,2,1.5,2.5,0.01,-0.24,HRV: -0.24,divergence
Yugosl.,Croatia,HRV,1989-1993,% of S_EUR4,Yugosl.: Croatia,"transition
(1989-1991/92)",-0.4311545522643561,-0.9647667420862285,-0.5336121898218724,4820680,NA,1,1993,65,3,2.5,3.5,0.01,-0.53,HRV: -0.53,divergence
Yugosl.,Croatia,HRV,1993-2022,% of S_EUR4,Yugosl.: Croatia,"capitalism
(1992-2022)",-0.9647667420862285,-0.2300023523303934,0.7347643897558351,4729691,NA,1,1993,38,4,3.5,4.5,0.01,0.73,HRV: +0.73,convergence
CEE,Czechia,CZE,1950-1975,% of S_EUR4,CEE: Czechia,"early socialism
(1950-1973/75)",0.05126996193447778,-0.2927831995994759,-0.3440531615339537,8916664,TRUE,2,1992,105,1,0.5,1.5,0.01,-0.34,CZE: -0.34,divergence
CEE,Czechia,CZE,1975-1989,% of S_EUR4,CEE: Czechia,"late socialism
(1973/75-1989)",-0.2927831995994759,-0.4262949700574431,-0.1335117704579672,10030738,NA,2,1992,75,2,1.5,2.5,0.01,-0.13,CZE: -0.13,divergence
CEE,Czechia,CZE,1989-1992,% of S_EUR4,CEE: Czechia,"transition
(1989-1991/92)",-0.4262949700574431,-0.589044908538925,-0.1627499384814819,10305562,NA,2,1992,65,3,2.5,3.5,0.01,-0.16,CZE: -0.16,divergence
CEE,Czechia,CZE,1992-2022,% of S_EUR4,CEE: Czechia,"capitalism
(1992-2022)",-0.589044908538925,-0.05191116646628462,0.5371337420726404,10312408,NA,2,1992,55,4,3.5,4.5,0.01,0.54,CZE: +0.54,convergence
Baltics,Estonia,EST,1973-1989,% of S_EUR4,Baltics: Estonia,"late socialism
(1973/75-1989)",-0.03903554300401918,-0.13453978956890808,-0.0955042465648889,1399299,NA,1,1994,96,2,1.5,2.5,0.01,-0.1,EST: -0.1,divergence
Baltics,Estonia,EST,1989-1994,% of S_EUR4,Baltics: Estonia,"transition
(1989-1991/92)",-0.13453978956890808,-0.6695128025541602,-0.5349730129852521,1567538,NA,1,1994,87,3,2.5,3.5,0.01,-0.53,EST: -0.53,divergence
Baltics,Estonia,EST,1994-2022,% of S_EUR4,Baltics: Estonia,"capitalism
(1992-2022)",-0.6695128025541602,-0.12190706919791779,0.5476057333562424,1475669,NA,1,1994,51,4,3.5,4.5,0.01,0.55,EST: +0.55,convergence
CEE,Hungary,HUN,1950-1975,% of S_EUR4,CEE: Hungary,"early socialism
(1950-1973/75)",-0.1296250523171362,-0.46154006269411213,-0.3319150103769759,9337826,NA,3,1992,88,1,0.5,1.5,0.01,-0.33,HUN: -0.33,divergence
CEE,Hungary,HUN,1975-1989,% of S_EUR4,CEE: Hungary,"late socialism
(1973/75-1989)",-0.46154006269411213,-0.6691110509072018,-0.20757098821308967,10515605,NA,3,1992,63,2,1.5,2.5,0.01,-0.21,HUN: -0.21,divergence
CEE,Hungary,HUN,1989-1992,% of S_EUR4,CEE: Hungary,"transition
(1989-1991/92)",-0.6691110509072018,-0.9251224354451806,-0.2560113845379788,10403359,NA,3,1992,51,3,2.5,3.5,0.01,-0.26,HUN: -0.26,divergence
CEE,Hungary,HUN,1992-2022,% of S_EUR4,CEE: Hungary,"capitalism
(1992-2022)",-0.9251224354451806,-0.14259153502239835,0.7825309004227823,10371431,NA,3,1992,40,4,3.5,4.5,0.01,0.78,HUN: +0.78,convergence
Baltics,Latvia,LVA,1973-1989,% of S_EUR4,Baltics: Latvia,"late socialism
(1973/75-1989)",-0.13742313962833025,-0.3161054683106807,-0.17868232868235046,2415721,NA,2,1994,87,2,1.5,2.5,0.01,-0.18,LVA: -0.18,divergence
Baltics,Latvia,LVA,1989-1994,% of S_EUR4,Baltics: Latvia,"transition
(1989-1991/92)",-0.3161054683106807,-0.9964275263087844,-0.6803220579981037,2664789,NA,2,1994,73,3,2.5,3.5,0.01,-0.68,LVA: -0.68,divergence
Baltics,Latvia,LVA,1994-2022,% of S_EUR4,Baltics: Latvia,"capitalism
(1992-2022)",-0.9964275263087844,-0.2213853025694705,0.7750422237393139,2521185,NA,2,1994,37,4,3.5,4.5,0.01,0.78,LVA: +0.78,convergence
Baltics,Lithuania,LTU,1973-1989,% of S_EUR4,Baltics: Lithuania,"late socialism
(1973/75-1989)",-0.1701783130169697,-0.3799078239011683,-0.20972951088419858,3236175,NA,3,1994,84,2,1.5,2.5,0.01,-0.21,LTU: -0.21,divergence
Baltics,Lithuania,LTU,1989-1994,% of S_EUR4,Baltics: Lithuania,"transition
(1989-1991/92)",-0.3799078239011683,-1.1022776918457105,-0.7223698679445422,3696048,NA,3,1994,68,3,2.5,3.5,0.01,-0.72,LTU: -0.72,divergence
Baltics,Lithuania,LTU,1994-2022,% of S_EUR4,Baltics: Lithuania,"capitalism
(1992-2022)",-1.1022776918457105,-0.09578000747211965,1.0064976843735909,3654839,NA,3,1994,33,4,3.5,4.5,0.01,1.01,LTU: +1.01,convergence
CEE,Poland,POL,1950-1975,% of S_EUR4,CEE: Poland,"early socialism
(1950-1973/75)",-0.14312328349608391,-0.4609998433519265,-0.3178765598558426,24780120,NA,4,1991,87,1,0.5,1.5,0.01,-0.32,POL: -0.32,divergence
CEE,Poland,POL,1975-1989,% of S_EUR4,CEE: Poland,"late socialism
(1973/75-1989)",-0.4609998433519265,-0.8634098937400894,-0.40241005038816285,33964338,NA,4,1991,63,2,1.5,2.5,0.01,-0.4,POL: -0.4,divergence
CEE,Poland,POL,1989-1991,% of S_EUR4,CEE: Poland,"transition
(1989-1991/92)",-0.8634098937400894,-1.091285551609523,-0.22787565786943365,37938044,NA,4,1991,42,3,2.5,3.5,0.01,-0.23,POL: -0.23,divergence
CEE,Poland,POL,1991-2022,% of S_EUR4,CEE: Poland,"capitalism
(1992-2022)",-1.091285551609523,-0.04508106100778833,1.0462044906017347,38152898,NA,4,1991,34,4,3.5,4.5,0.01,1.05,POL: +1.05,convergence
CEE,Romania,ROU,1950-1975,% of S_EUR4,CEE: Romania,"early socialism
(1950-1973/75)",-0.8707149747783871,-0.8954869209912542,-0.024771946212867046,16397220,NA,5,1992,42,1,0.5,1.5,0.01,-0.02,ROU: -0.02,divergence
CEE,Romania,ROU,1975-1989,% of S_EUR4,CEE: Romania,"late socialism
(1973/75-1989)",-0.8954869209912542,-1.22972524447259,-0.33423832348133575,21268014,NA,5,1992,41,2,1.5,2.5,0.01,-0.33,ROU: -0.33,divergence
CEE,Romania,ROU,1989-1992,% of S_EUR4,CEE: Romania,"transition
(1989-1991/92)",-1.22972524447259,-1.5668827486095378,-0.3371575041369479,22887592,NA,5,1992,29,3,2.5,3.5,0.01,-0.34,ROU: -0.34,divergence
CEE,Romania,ROU,1992-2022,% of S_EUR4,CEE: Romania,"capitalism
(1992-2022)",-1.5668827486095378,-0.25966902368489564,1.307213724924642,22912341,NA,5,1992,21,4,3.5,4.5,0.01,1.31,ROU: +1.31,convergence
USSR,Russia,RUS,1950-1975,% of S_EUR4,USSR: Russia,"early socialism
(1950-1973/75)",-0.30689950380695513,-0.2737935702869297,0.03310593352002544,103392314,NA,2,1998,74,1,0.5,1.5,0.01,0.03,RUS: +0.03,convergence
USSR,Russia,RUS,1975-1989,% of S_EUR4,USSR: Russia,"late socialism
(1973/75-1989)",-0.2737935702869297,-0.5204936269611119,-0.2467000566741822,134136049,NA,2,1998,76,2,1.5,2.5,0.01,-0.25,RUS: -0.25,divergence
USSR,Russia,RUS,1989-1998,% of S_EUR4,USSR: Russia,"transition
(1989-1991/92)",-0.5204936269611119,-1.1377807680716423,-0.6172871411105304,148281823,NA,2,1998,59,3,2.5,3.5,0.01,-0.62,RUS: -0.62,divergence
USSR,Russia,RUS,1998-2022,% of S_EUR4,USSR: Russia,"capitalism
(1992-2022)",-1.1377807680716423,-0.2891394177997585,0.8486413502718838,147635488,NA,2,1998,32,4,3.5,4.5,0.01,0.85,RUS: +0.85,convergence
Yugosl.,Serbia,SRB,1952-1979,% of S_EUR4,Yugosl.: Serbia,"early socialism
(1950-1973/75)",-0.9266492357724594,-0.45010448460973773,0.47654475116272166,6127217,NA,2,1993,40,1,0.5,1.5,0.01,0.48,SRB: +0.48,convergence
Yugosl.,Serbia,SRB,1979-1989,% of S_EUR4,Yugosl.: Serbia,"late socialism
(1973/75-1989)",-0.45010448460973773,-0.6727530471025743,-0.2226485624928366,7758172,NA,2,1993,64,2,1.5,2.5,0.01,-0.22,SRB: -0.22,divergence
Yugosl.,Serbia,SRB,1989-1993,% of S_EUR4,Yugosl.: Serbia,"transition
(1989-1991/92)",-0.6727530471025743,-1.5906857451166296,-0.9179326980140553,7881211,NA,2,1993,51,3,2.5,3.5,0.01,-0.92,SRB: -0.92,divergence
Yugosl.,Serbia,SRB,1993-2022,% of S_EUR4,Yugosl.: Serbia,"capitalism
(1992-2022)",-1.5906857451166296,-0.6864052985373874,0.9042804465792422,7849677,NA,2,1993,20,4,3.5,4.5,0.01,0.9,SRB: +0.9,convergence
CEE,Slovakia,SVK,1950-1975,% of S_EUR4,CEE: Slovakia,"early socialism
(1950-1973/75)",0.0940959181732256,-0.3400691753840793,-0.4341650935573049,3465707,TRUE,6,1992,110,1,0.5,1.5,0.01,-0.43,SVK: -0.43,divergence
CEE,Slovakia,SVK,1975-1989,% of S_EUR4,CEE: Slovakia,"late socialism
(1973/75-1989)",-0.3400691753840793,-0.5230034322001439,-0.18293425681606457,4739131,TRUE,6,1992,71,2,1.5,2.5,0.01,-0.18,SVK: -0.18,divergence
CEE,Slovakia,SVK,1989-1992,% of S_EUR4,CEE: Slovakia,"transition
(1989-1991/92)",-0.5230034322001439,-0.8529897984071892,-0.32998636620704536,5249882,NA,6,1992,59,3,2.5,3.5,0.01,-0.33,SVK: -0.33,divergence
CEE,Slovakia,SVK,1992-2022,% of S_EUR4,CEE: Slovakia,"capitalism
(1992-2022)",-0.8529897984071892,-0.21046132695249478,0.6425284714546945,5306409,NA,6,1992,43,4,3.5,4.5,0.01,0.64,SVK: +0.64,convergence
Yugosl.,Slovenia,SVN,1952-1979,% of S_EUR4,Yugosl.: Slovenia,"early socialism
(1950-1973/75)",-0.2660130455218276,0.234793016201761,0.5008060617235885,1479622,NA,3,1992,77,1,0.5,1.5,0.01,0.5,SVN: +0.5,convergence
Yugosl.,Slovenia,SVN,1979-1989,% of S_EUR4,Yugosl.: Slovenia,"late socialism
(1973/75-1989)",0.234793016201761,-0.07973013304900593,-0.3145231492507669,1885870,NA,3,1992,126,2,1.5,2.5,0.01,-0.31,SVN: -0.31,divergence
Yugosl.,Slovenia,SVN,1989-1992,% of S_EUR4,Yugosl.: Slovenia,"transition
(1989-1991/92)",-0.07973013304900593,-0.40087342866100484,-0.3211432956119989,1995417,NA,3,1992,92,3,2.5,3.5,0.01,-0.32,SVN: -0.32,divergence
Yugosl.,Slovenia,SVN,1992-2022,% of S_EUR4,Yugosl.: Slovenia,"capitalism
(1992-2022)",-0.40087342866100484,-0.03877606075307253,0.3620973679079323,1995805,NA,3,1992,67,4,3.5,4.5,0.01,0.36,SVN: +0.36,convergence
USSR,Ukraine,UKR,1973-1989,% of S_EUR4,USSR: Ukraine,"late socialism
(1973/75-1989)",-0.6032455336287598,-0.7565273581345383,-0.15328182450577854,48277070,NA,3,1998,55,2,1.5,2.5,0.01,-0.15,UKR: -0.15,divergence
USSR,Ukraine,UKR,1989-1998,% of S_EUR4,USSR: Ukraine,"transition
(1989-1991/92)",-0.7565273581345383,-1.7498310219613449,-0.9933036638268066,51917779,NA,3,1998,47,3,2.5,3.5,0.01,-0.99,UKR: -0.99,divergence
USSR,Ukraine,UKR,1998-2022,% of S_EUR4,USSR: Ukraine,"capitalism
(1992-2022)",-1.7498310219613449,-1.4777717752811756,0.27205924668016923,50379676,NA,3,1998,17,4,3.5,4.5,0.01,0.27,UKR: +0.27,convergence
